number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout_rate,params_epochs,params_feature_set,params_learning_rate,params_n_hidden_layers,params_units_per_layer,params_use_dropout,state
92,0.07385530322790146,2025-02-27 04:03:33.992984,2025-02-27 04:04:28.059962,0 days 00:00:54.066978,tanh,1024.0,,20.0,,0.0006308227328502608,5.0,112.0,False,PRUNED
93,0.06071166694164276,2025-02-27 04:04:28.064197,2025-02-27 04:06:31.717631,0 days 00:02:03.653434,tanh,256.0,0.4,10.0,,0.0007532194646033518,5.0,144.0,True,PRUNED
94,0.042312126606702805,2025-02-27 04:06:31.721928,2025-02-27 04:15:21.051081,0 days 00:08:49.329153,tanh,128.0,,20.0,,0.0005916339284766127,5.0,176.0,False,COMPLETE
95,0.04943643510341644,2025-02-27 04:15:21.058909,2025-02-27 04:25:20.812483,0 days 00:09:59.753574,tanh,128.0,,20.0,,0.0005893960234934532,5.0,64.0,False,COMPLETE
96,0.04802922531962395,2025-02-27 04:25:20.820754,2025-02-27 04:35:37.861035,0 days 00:10:17.040281,tanh,128.0,,30.0,,0.0005045696759526591,5.0,176.0,False,PRUNED
97,11.432841300964355,2025-02-27 04:35:37.865776,2025-02-27 04:36:34.633360,0 days 00:00:56.767584,softplus,128.0,,10.0,,0.0009468748284877383,5.0,112.0,False,PRUNED
98,0.26434844732284546,2025-02-27 04:36:34.637584,2025-02-27 04:37:13.488947,0 days 00:00:38.851363,relu,128.0,,20.0,,0.0008138343620589213,3.0,224.0,False,PRUNED
99,0.10837091505527496,2025-02-27 04:37:13.493778,2025-02-27 04:37:23.169891,0 days 00:00:09.676113,tanh,1024.0,,40.0,,0.0006108131937263401,5.0,160.0,False,PRUNED
100,0.060294121503829956,2025-02-27 04:37:23.174235,2025-02-27 04:47:28.828018,0 days 00:10:05.653783,tanh,128.0,,50.0,,0.0007111364397272589,5.0,96.0,False,PRUNED
101,0.09789116680622101,2025-02-27 04:47:28.832530,2025-02-27 04:47:43.682284,0 days 00:00:14.849754,tanh,1024.0,,80.0,,0.0005561017732737076,4.0,144.0,False,PRUNED
102,0.05577937513589859,2025-02-27 04:47:43.686949,2025-02-27 04:52:37.335001,0 days 00:04:53.648052,tanh,128.0,0.2,20.0,,0.0006510429268928181,5.0,192.0,True,PRUNED
103,0.16476376354694366,2025-02-27 04:52:37.339820,2025-02-27 04:52:42.173743,0 days 00:00:04.833923,tanh,1024.0,0.30000000000000004,30.0,,0.0006746282345260983,5.0,240.0,True,PRUNED
104,0.060189198702573776,2025-02-27 04:52:42.178349,2025-02-27 04:57:40.117423,0 days 00:04:57.939074,tanh,128.0,0.4,20.0,,0.0005366596066999403,5.0,128.0,True,PRUNED
105,0.04418359324336052,2025-02-27 04:57:40.122108,2025-02-27 04:59:16.703592,0 days 00:01:36.581484,tanh,1024.0,0.1,10.0,,0.000761753928955445,5.0,48.0,True,COMPLETE
106,0.049113523215055466,2025-02-27 04:59:16.711854,2025-02-27 05:00:32.645153,0 days 00:01:15.933299,tanh,1024.0,0.1,10.0,,0.0007619564740252128,5.0,48.0,True,COMPLETE
107,5975.611328125,2025-02-27 05:00:32.653154,2025-02-27 05:00:36.914988,0 days 00:00:04.261834,selu,1024.0,0.1,10.0,,0.0005862004642424661,3.0,16.0,True,PRUNED
108,0.8529874086380005,2025-02-27 05:00:36.919526,2025-02-27 05:00:41.896855,0 days 00:00:04.977329,softplus,1024.0,0.1,50.0,,0.0006211094990843911,5.0,32.0,True,PRUNED
109,0.04672040417790413,2025-02-27 05:00:41.901116,2025-02-27 05:01:46.280958,0 days 00:01:04.379842,tanh,1024.0,,10.0,,0.0008458709392565475,4.0,64.0,False,COMPLETE
110,0.6950571537017822,2025-02-27 05:01:46.289973,2025-02-27 05:01:51.907432,0 days 00:00:05.617459,gelu,1024.0,0.5,30.0,,0.0007270243982905413,5.0,464.0,True,PRUNED
111,0.04529452323913574,2025-02-27 05:01:51.912662,2025-02-27 05:08:39.618610,0 days 00:06:47.705948,tanh,256.0,0.2,50.0,,0.0008042210283931604,5.0,80.0,True,PRUNED
112,0.04841027781367302,2025-02-27 05:08:39.623404,2025-02-27 05:10:19.150187,0 days 00:01:39.526783,tanh,1024.0,,10.0,,0.0008403274414691279,4.0,64.0,False,COMPLETE
113,0.048595186322927475,2025-02-27 05:10:19.158365,2025-02-27 05:11:30.491054,0 days 00:01:11.332689,tanh,1024.0,,10.0,,0.0009851707074937936,4.0,48.0,False,COMPLETE
114,0.04577657952904701,2025-02-27 05:11:30.498780,2025-02-27 05:12:40.298636,0 days 00:01:09.799856,tanh,1024.0,,10.0,,0.0009039518217904387,4.0,16.0,False,COMPLETE
115,0.04413199797272682,2025-02-27 05:12:40.307777,2025-02-27 05:14:41.791247,0 days 00:02:01.483470,tanh,1024.0,,20.0,,0.000893332122821492,4.0,16.0,False,COMPLETE
116,0.04057566449046135,2025-02-27 05:14:41.800600,2025-02-27 05:17:20.377844,0 days 00:02:38.577244,tanh,1024.0,,20.0,,0.0007030645994246821,5.0,32.0,False,COMPLETE
117,0.05687033757567406,2025-02-27 05:17:20.387535,2025-02-27 05:19:27.875826,0 days 00:02:07.488291,tanh,128.0,,20.0,,0.0006475200999236372,3.0,16.0,False,PRUNED
118,272.7279357910156,2025-02-27 05:19:27.882649,2025-02-27 05:19:31.761771,0 days 00:00:03.879122,softplus,1024.0,,20.0,,0.0005753926089450225,1.0,32.0,False,PRUNED
119,0.5400200486183167,2025-02-27 05:19:31.767366,2025-02-27 05:20:09.981077,0 days 00:00:38.213711,relu,128.0,,60.0,,0.0005295206815525153,4.0,96.0,False,PRUNED
120,0.12650765478610992,2025-02-27 05:20:09.987025,2025-02-27 05:20:14.585582,0 days 00:00:04.598557,tanh,1024.0,,30.0,,0.00069412555393204,5.0,176.0,False,PRUNED
